Month,Popularity
2011-01,1
2011-02,1
2011-03,0
2011-04,0
2011-05,1
2011-06,0
2011-07,0
2011-08,0
2011-09,1
2011-10,10
2011-11,33
2011-12,100
2012-01,4
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,0
2012-08,2
2012-09,1
2012-10,4
2012-11,22
2012-12,60
2013-01,3
2013-02,2
2013-03,1
2013-04,1
2013-05,2
2013-06,1
2013-07,1
2013-08,2
2013-09,2
2013-10,5
2013-11,20
2013-12,48
2014-01,3
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,2
2014-08,1
2014-09,2
2014-10,1
2014-11,13
2014-12,39
2015-01,3
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,5
2015-07,1
2015-08,2
2015-09,2
2015-10,4
2015-11,13
2015-12,34
2016-01,3
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,2
2016-10,4
2016-11,14
2016-12,34
2017-01,3
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,10
2017-12,22
2018-01,1
2018-02,2
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,2
2018-11,7
2018-12,18
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,9
2019-12,17
